 54101 function calls (53641 primitive calls) in 0.364 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
       17    0.000    0.000    0.000    0.000 common.py:1743(validate_all_hashable)
       34    0.000    0.000    0.000    0.000 common.py:1762(<genexpr>)
      304    0.000    0.000    0.000    0.000 common.py:185(classes)
      304    0.000    0.000    0.000    0.000 common.py:187(<lambda>)
       96    0.000    0.000    0.000    0.000 common.py:190(classes_and_not_datetimelike)
       96    0.000    0.000    0.000    0.000 common.py:195(<lambda>)
      180    0.000    0.000    0.001    0.000 common.py:201(is_object_dtype)
      292    0.001    0.000    0.001    0.000 common.py:231(is_sparse)
       90    0.000    0.000    0.000    0.000 common.py:355(is_datetime64_dtype)
      308    0.000    0.000    0.002    0.000 common.py:388(is_datetime64tz_dtype)
       90    0.000    0.000    0.000    0.000 common.py:429(is_timedelta64_dtype)
      219    0.000    0.000    0.002    0.000 common.py:463(is_period_dtype)
      177    0.000    0.000    0.001    0.000 common.py:499(is_interval_dtype)
      307    0.000    0.000    0.002    0.000 common.py:537(is_categorical_dtype)
      115    0.000    0.000    0.003    0.000 common.py:573(is_string_dtype)
      115    0.000    0.000    0.002    0.000 common.py:602(condition)
       87    0.000    0.000    0.002    0.000 common.py:605(is_excluded_dtype)
      348    0.000    0.000    0.002    0.000 common.py:610(<genexpr>)
       76    0.001    0.000    0.087    0.001 concat.py:101(concat_compat)
      152    0.000    0.000    0.000    0.000 concat.py:119(is_nonempty)
       76    0.000    0.000    0.000    0.000 concat.py:130(<listcomp>)
      152    0.000    0.000    0.000    0.000 concat.py:135(<genexpr>)
       76    0.000    0.000    0.000    0.000 concat.py:138(<setcomp>)
      228    0.000    0.000    0.001    0.000 concat.py:139(<genexpr>)
      168    0.000    0.000    0.000    0.000 concat.py:179(__init__)
       88    0.001    0.000    0.001    0.000 concat.py:190(needs_filling)
       88    0.000    0.000    0.001    0.000 concat.py:199(dtype)
